Date,State,Cured,Deaths,Confirmed
1/1/2021,Karnataka,896116,12090,919496
1/2/2021,Karnataka,897200,12096,920373
1/3/2021,Karnataka,898176,12099,921128
1/4/2021,Karnataka,898919,12107,921938
1/5/2021,Karnataka,900202,12110,922538
1/6/2021,Karnataka,901579,12118,923353
1/7/2021,Karnataka,902817,12124,924137
1/8/2021,Karnataka,903629,12131,924898
1/9/2021,Karnataka,904286,12134,925868
1/10/2021,Karnataka,905158,12138,926767
1/11/2021,Karnataka,905751,12140,927559
1/12/2021,Karnataka,906548,12144,928055
1/13/2021,Karnataka,907729,12149,928806
1/14/2021,Karnataka,908494,12152,929552
1/15/2021,Karnataka,909058,12155,929960
1/16/2021,Karnataka,909701,12158,930668
1/17/2021,Karnataka,910377,12162,931252
1/18/2021,Karnataka,911232,12166,931997
1/19/2021,Karnataka,912205,12175,932432
1/20/2021,Karnataka,913012,12181,933077
1/21/2021,Karnataka,913677,12185,933578
1/22/2021,Karnataka,914492,12187,934252
1/23/2021,Karnataka,915382,12190,934576
1/24/2021,Karnataka,915924,12193,935478
1/25/2021,Karnataka,916325,12197,936051
1/26/2021,Karnataka,917361,12200,936426
1/27/2021,Karnataka,918099,12204,936955
1/28/2021,Karnataka,918859,12207,937383
1/29/2021,Karnataka,919503,12209,937933
1/30/2021,Karnataka,920110,12211,938401
1/31/2021,Karnataka,920657,12213,938865
2/1/2021,Karnataka,921122,12217,939387
2/2/2021,Karnataka,921592,12220,939775
2/3/2021,Karnataka,922004,12223,940170
2/4/2021,Karnataka,922437,12225,940596
2/5/2021,Karnataka,922907,12227,941070
2/6/2021,Karnataka,923377,12230,941500
2/7/2021,Karnataka,923811,12233,942031
2/8/2021,Karnataka,924304,12236,942518
2/9/2021,Karnataka,924654,12239,942846
2/10/2021,Karnataka,925167,12241,943212
2/11/2021,Karnataka,925489,12244,943627
2/12/2021,Karnataka,925829,12251,944057
2/13/2021,Karnataka,926234,12259,944437
2/14/2021,Karnataka,926664,12263,944856
2/15/2021,Karnataka,927150,12265,945270
2/16/2021,Karnataka,927580,12267,945638
2/17/2021,Karnataka,927924,12273,946076
2/18/2021,Karnataka,928461,12276,946454
2/19/2021,Karnataka,928767,12282,946860
2/20/2021,Karnataka,929058,12287,947246
2/21/2021,Karnataka,929447,12292,947736
